INDIC,TAMIL
அநுதினம்,நாடோறும்
சாபம்,தூற்று
அத்தமனம்,மாலை
அறிவு ஜீவி,அறிவாளர்
மரணை,நினைவு
சகவாசம்,பழக்கம்
நிவேதனம்,படையல்
சம்பிரதாயம்,மரபு
அந்தஸ்து,நிலை
நிர்ப்பந்தம்,நெருக்கம்
வியாபாரம்,வாணிபம்
அலங்காரம்,புனைவு
இதரம்,பகைமை
யோகம்,தவநிலை
ஜீவராசி,உயிரினம்
பிரணவம்,ஓங்காரம்
சக்கரவர்த்தி,பேரரசர்
சுகம்,நலம்
தயை,இரக்கம்
சங்கமம்,ஆறு கடலோடு கூடுமிடம்
பிராகாமியம்,நிறைவுண்மை
விரோதம்,முரண்
சுகிர்தம்,நன்மை
பிரேதம்,பிணம்
நியாயாதிபதி,நடுவர்
ஜமீன்தார்,பண்ணையார்
பந்தம்,தொடர்பு
த்வீதியம்,இரண்டு
தரிசனம்,பார்வை
சுவாசகாசம்,இளைப்பிருமல்
அங்க சேட்டை,உறுப்பு அசைவு
ஸ்திரம்,நிலை
வாரம்,அன்பு
ஜனானா,அந்தப்புரம்
ஈஸ்வரன்,ஈசன்
உதாசீனம்,கவனியாமை
நடராஜமூர்த்தி,அம்பலவாணன்
பிரசாரம்,பரப்புதல்
ஜுவாலை,தீச்சுடர்
கவுளி,பல்லி
சூன்யம்,இன்மை
உந்நதம்,மேன்மை
கடூரம்,கொடுமை
சுலபம்,எளிது
கலசம்,குடம்
ரொக்கம்,கைப்பணம்
அகற்பிதம்,இயல்பு
வாஸ்தவம்,மெய்
பிராகாரம்,கோயிற்சுற்று
வகித்தல்,ஏற்றல்
அந்நியோந்நியம்,ஒற்றுமை
உத்தியோகம்,தொழில்
போதனை,கற்பனை
மமகாரம்,எனதென்றல்
லக்ஷ்மி,திருமகள்
பத்தர்,தொண்டர்
அந்நியோந்நியம்,நெருக்கம்
சம்பத்து,செல்வம்
தெய்வபக்தி,கடவுட் பற்று
ஏதம்,தீங்கு
நிமிஷம்,நொடிப்பொழுது
விஷம்,நஞ்சு
புத்திரி,புதல்வி
ஜீவ நதி,வற்றா ஆறு
நிர்பந்தம்,கட்டாயம்
ஆவசியம்,கட்டாயம்
அஸ்தமனம்,மாலை
ஸ்தம்பித்தல்,செயலற்று நிற்றல்
கீதம்,இசை
சுதந்திரம்,விடுதலை
விகாரம்,அழகின்மை
சின்னாபின்னம்,உருக்குலைவு
அவமானம்,இழிவு
அபூர்வம்,அரிய
இடபம்,ஏறு
சகாயம்,நயம்
அங்கப் பிரதட்சணம்,மெய் வலம்வரல்
பூர்வ சென்மம்,முன்பிறப்பு
அயோக்கிதை,தகுதியின்மை
அதிகாரம்,நூற்கூறுபாடு
தூதர்,ஒற்றர்
நவீனம்,புதுமை
பாரம்,பொறை
வல்லபம்,ஆற்றல்
சாபம்,சாவம்
ரகசியம்,கமுக்கம்
அபேட்சை,விருப்பம்
இக்கணம்,இப்போது
பால்யர்,இளைஞர்
சுவாதிஷ்டானம்,கொப்பூழ்
க்ஷீணம்,கேடு
வீதி,தெரு
ஜோஸ்யர்,நிமித்திகர்
இதரம்,அயல்
அர்த்தசாமம்,நள்ளிரவு
கலியாணம்,மணம்
சூரியன்,பரிதி
பிரபு,பெருஞ் செல்வன்
மூர்ச்சை,உணர்ச்சியின்மை
சிரத்தை,முதன்மை
அதிசயம்,வியப்பு
பந்தி,வரிசை
மாத்சரியம்,பொறாமை
இயந்திரம்,பொறி
