INDIC,TAMIL
ஜுவாலை,"தீச்சுடர்,கொழுந்து"
பிரஸ்தாபம்,பேச்சு
சொஸ்தம்,நலம்
புஜம்,கை
ஜோர்,அருமை
வஸ்து,பொருள்
அஸ்தி,"எலும்பு,உடல்,இருத்தல்"
மோஸ்தர்,பாணி
தக்ஷிணம்,தெற்கு
தட்சிணாயணம்,தென்வழி
உத்தராயணம்,வடவழி
தட்சிணம்,தெற்கு
உத்திரம்,வடக்கு
வசந்த காலம்,வேனிற்காலம்
நிரஞ்சனா,"மாசிலி,அமலை"
பரிசுத்தம்,தூய்மை
வார்த்தை,சொல்
சில்மிஷம்,குறும்பு
தர்மம்,அறம்
கர்மம்,செயல்
முஷ்டி,முழங்கை
சர்வ ரோக நிவாரிணி,பல நோய்ப் போக்கி
நிவாரணம்,"ஈடு,இழப்பீடு"
ஜாடை,சாயல்
ஜடை,பின்னல்
லட்சணம்,அழகு
டாம்பீகம்,வீண்பெருமை
ஜம்பு,நாவல் (பழம்)
ஜம்புத்வீபம்,நாவலந்தீவு
ஹஸ்தம்,கை
சந்தர்ப்பம்,"தருணம்,தருவாய்"
இரகசியம்,"கமுக்கம்,மறைபொருள்"
வசனம்,உரையாடல்
கலாசாலை,பள்ளிக்கூடம்
சயனம்,"தூக்கம்,உறக்கம்"
திரிவேணி சங்கமம்,முக்கூடல்
விருத்தாச்சலம்,"பழமலை,முதுகுன்றம்"
சிதம்பரம்,திருச்சிற்றம்பலம்
திண்டிவனம்,புளியங்காடு
வேதாரண்யம்,திருமரைக்காடு
சைவம்,மரக்கறி
ஜோசியர்,கணியன்
ஜோலார்பேட்,சோலையார்ப்பேட்டை
சவால்,அறைகூவல்
கர்ப்பகிரஹம்,கருவறை
சாரதி,வலவர்
சாஷ்டாங்கம்,நெடுஞ்சாண்கிடை
ஆச்சரியம்,விந்தை
யுத்தம்,போர்
எமன்,கூற்றுவன்
சபதம்,சூளுரைத்தல்
விவாகம்,திருமணம்
விவாகரத்து,மணமுறிவு
அகதி,ஏதிலி
நிரூபணம்,உறுதிப்பாடு
நிர்பந்தம்,கட்டாயம்
சாயங்காலம்,மாலை நேரம்
சுவாரஸ்யம்,"சுவையாரம்,ஆர்வமூட்டுவதாக"
