INDIC,TAMIL
உசிதம்,"மேன்மை,சிறப்பு,தகுதி,ஒழுங்கு,உயர்வு"
உச்சந்தம்,தணிவு
உச்சரிப்பு,எழுத்தோசை
உச்சி,"மேடு,முகடு"
உஷ்ணம்,"சூடு,வெப்பம்"
உதயம்,"காலை,பிறப்பு,விடியல்,வெளிப்படல்,தோற்றம்"
உதரம்,வயிறு
உதாரம்,"வள்ளன்மை,ஈகைத்தன்மை,தண்ணளி"
உதாரகுணம்,"வள்ளன்மை,ஈகைத்தன்மை,தண்ணளி"
உதாரணம்,"எடுத்துக்காட்டு,சான்று,காட்டு"
உதித்தல்,"தோன்றுதல்,பிதற்றல்"
உதிரம்,"செந்நீர்,குருதி"
உத்தமம்,"உண்மை,மேன்மை"
உத்தமி,கற்புடையவள்
உத்தரம்,மறுமொழி
உத்தரவு,கட்டளை
உத்தியோகம்,"பணி,அலுவல்,முயற்சி,தொழில்"
உத்தேசம்,"ஏறக்குறைய,மதிப்பு,கருத்து"
உந்நதம்,"உயர்ச்சி,மேன்மை"
உபகரணம்,"கொடுத்தல்,உதவிப் பொருள்,கருவிப் பொருள்"
உபகாரம்,"உதவி,வேளாண்மை,வரவேற்பு,முகமன்"
உபதேசம்,"அருண்மொழி,அறிவுரை"
உபத்தம்,கருவாய்
உபத்திரவம்,"வருத்தம்,இடையூறு,இடர்,இக்கட்டு,தடை,துன்பம்"
உபநதி,கிளையாறு
உபநயநம்,"மூக்குக்கண்ணாடி,பூணூற்சடங்கு,வழிநடத்துதல்"
உபந்நியாசம்,"சொற்பொழிவு,விரிவுரை/சமய சொற்பொழிவு"
உபயோகம்,"பயன்பாடு,பயன்"
உபவனம்,பூஞ்சோலை
உபாசனை,"வழிபாடு,வணக்கம்"
உபாதி,"நோய்,துன்பம்"
உபாத்தியாயன்,"கணக்காயன்,கற்பிப்போன்,ஆசிரியன்"
உபாத்தியாயினி,"கற்பிப்போள்,ஆசிரியை"
உபாயம்,"எளிது,சிறிது,நொய்மை,சூழ்ச்சி"
உபேட்சை,"வெறுப்பு,விருப்பின்மை,அசட்டை"
உயிர்ப்பிராணி,உயிர்ப்பொருள்
உருக்குமணி,பொன்மணி
உருசி,சுவை
உருத்திராக்கம்,"சிவமணி,அக்குமணி"
உரூபித்தல்,மெய்ப்பித்தல்
உரொக்கம்,"கைப்பணம்,மொத்த இருப்பு,இருப்பு"
உரோகம்,"ஒளியின்மை,நோய்"
உரோமம்,"முடி,குஞ்சி,மயிர்"
உலகப்பிரசித்தி,எங்கும் பரந்த புகழ்
உலோகம்,"செம்பு முதலியன,வெள்ளி,பொன்,உலகம்"
உலோபம்,"ஈயாமை,கடும்பற்றுள்ளம்,இவறன்மை"
உல்லாசம்,"விளையாட்டு,மகிழ்ச்சி,உள்ளக்களிப்பு"
உற்சவம்,"திருநாள்,திருவிழா,விழா"
ஊகித்தல்,"நினைத்தல்,ஓர்தல்"
ஊநம்,"குறைவு,இழிவு"
ஊர்ச்சிதம்,"உறுதி,நிலைப்படுதல்"
எக்கியம்,வேள்வி
எசமானன்,"தலைவன்,முதல்வன்"
எதார்த்தம்,"உறுதி,உண்மை"
எதேச்சை,விருப்பப்படி
எவ்வநம்,"அழகு,இளமை"
யௌவநம்,"அழகு,இளமை"
ஏகதேசம்,"ஒரு புடை,தோராயம்,சிறுபான்மை,ஒருபுடை,ஒருபால்,ஒருபக்கம்"
ஏகம்,"தனிமை,ஒன்று"
ஏகாங்கி,"துறவி,தனியன்"
ஏகாதிபத்தியம்,தனியரசாட்சி
ஏகாந்தம்,"ஒரு முடிவு,தனிமை"
ஏடணை,விருப்பம்
ஏதம்,"தீங்கு,துன்பம்,குற்றம்"
ஏது,காரணம்
ஏனம்,பன்றி
ஐக்கியம்,ஒற்றுமை
ஐச்வரியம்,"திரு,செல்வம்"
ஐதிகம்,உலகுரை
ஓமம்,வேள்வி
ஔடதம்,மருந்து
ஔபாசனம்,"வேள்வித்தீயோம்புகை,எரியோம்பல்,உணவொழிநோன்பு"
கங்கணம்,காப்பு
கடகம்,வாள்
கட்சி,"சார்பு,பக்கம்"
கக்ஷி,"சார்பு,பக்கம்"
கஷாயம்,"மருந்துநீர்,மருந்துக் குடிநீர்,கருக்கு"
கடினம்,"வருத்தம்,வன்மை,கடுமை,கொடுமை"
கடூரம்,கொடுமை
கஷ்டம்,"வருத்தம்,துன்பம்,கடினம்"
கஷ்டசாத்தியம்,அரிதின்முடிவது
கணபதி,பிள்ளையார்
கணிதம்,கணக்கு
கண்டம்,"கழுத்து,துண்டு,பிரிவு,மிடறு,நிலப்பிரிவு,கட்டி"
கண்டனம்,மறுப்பு
கண்திருஷ்டி,"கண்ணேறு,கண்ணெச்சில்"
கதம்பம்,"கூட்டம்,மணப்பொருட்கூட்டு"
கநகம்,பொன்
கந்தமூலம்,கிழங்கு
கந்தம்,"மணம்,நாற்றம்"
கந்துகம்,"குதிரை,பந்து"
கந்மஷம்,"அழுக்கு,தீவினை"
கந்நிகை,மணமாகாதவள்
கபம்,கோழை
கபோதி,குருடன்
கமலம்,தாமரை
கம்பீரம்,"பெருமை,ஆழம்,உயர்தோற்றம்,செருக்கு"
கயரோகம்,எலும்புருக்கி நோய்
கயிலாசம்,"நொடித்தான்மலை,சிவப்பேறு"
கயிலாயம்,"நொடித்தான்மலை,சிவப்பேறு"
கரகோஷம்,"கை தட்டுதல்,கரவொலி"
கருடன்,கலுழன்
கருணை,"அருள்,இரக்கம்"
கருத்தா,"வினை முதல்,தலைவன்,நூலாசிரியன்,ஆக்கியோன்"
கர்த்தா,"வினை முதல்,தலைவன்,நூலாசிரியன்,ஆக்கியோன்"
கருமம்,"வினை,தொழில்"
கர்க்கடகம்,நண்டு
கர்ச்சனை,முழக்கம்
கர்ப்பக்கிரகம்,"திருஉள் நாழிகை,அகநாழிகை"
கர்ப்பவதி,சூலி
கர்வம்,செருக்கு
கலசம்,"குடம்,கலயம்,திருக்குடம்"
கலாசாலை,"கல்லூரி,பள்ளிக்கூடம்"
கலியாணம்,"மன்றல்,மணம்"
கவி,"செய்யுள்,பாட்டு,பாவலன்"
கவுளி,பல்லி
கனம்,"பளுவு,சுமை"
காசம்,"இருமல் நோய்,ஈளை நோய்"
காஷாயம்,காவி
காஷ்டம்,விறகு
காயம்,"உடல்,வான்,யாக்கை"
காரகன்,செய்பவன்
காரியதரிசி,"அமைச்சன்,செயலாளன்"
காரியஸ்தன்,செயலாளன்
காலக்கிரமம்,கால ஒழுங்கு
காலச்சேபம்,"நாட்கழிதல்,வாழ்க்கை"
காளம்,"முகில்,கருமை"
கிஸ்தி,திறை
கிஞ்சுகம்,கிளி
கிடாரம்,கொப்பரை
கியாதி,"மேன்மை,புகழ்"
கிரகசாரம்,"கோள்நிலை,கோட்சாரம்"
கிரகணம்,"பிடித்தல்,பற்றுதல்"
கிரகம்,"கோள்,பிடிப்பு,பற்றுதல்,வீடு"
கிரகஸ்தம்,இல்லறநிலை
கிரகித்தல்,"இழுத்தல்,உணர்தல்,பற்றுதல்,கவர்தல்"
கிரந்தம்,"நூல்,புத்தகம்"
கிரமம்,"முறைமை,ஒழுங்கு"
கிரயம்,விலை
கிராதன்,"குறவன்,வேட்டுவன்"
கிராமம்,சிற்றூர்
கிரியை,"வினை,செயல்,சடங்கு,தொழில்"
கிரீடம்,முடி
கிருஷி,"உழவு,பயிர்,பயிர் செய்கை"
கிருஷ்ணபக்ஷம்,தேய்பிறை
கிருபை,"அருள்,இரக்கம்"
கிருமி,"புழு,பூச்சி"
கிலம்,அழிவு
கிலேசம்,"கவலை,அச்சம்,துன்பம்"
கீணம்,"கேடு,சிதைவு"
க்ஷீணம்,"கேடு,சிதைவு"
கீதம்,"இசைப்பாட்டு,இசை,பாடல்"
கீர்த்தி,"இசை,புகழ்"
குக்குடம்,கோழி
குலசம்,"நன்மை,நலம்"
குஞ்சரம்,யானை
குஷ்டம்,"பெருநோய்,தொழுநோய்"
குணம்,இயல்பு
குதூகலம்,"பெருமகிழ்ச்சி,பெருங்களிப்பு"
குபேரன்,"செல்வக் கடவுள்,பெருஞ் செல்வன்"
குமரி,"புதல்வி,மணமாகாப் பெண்,நங்கை,மகள்"
குமாரி,"புதல்வி,மணமாகாப் பெண்,நங்கை,மகள்"
கும்பகோணம்,"குடமூக்கு,குடந்தை"
கும்பாபிஷேகம்,குடமுழுக்கு
கும்பம்,"குடம்,பானை/குடம்"
குருபக்தி,"குருவினிடத்தன்பு,ஆசானிடத்தன்பு"
குரூபி,"உருவிலி,அழகிலி"
குரூரம்,"ஈரமின்மை,தறுகண்,அஞ்சாமை,கொடுமை"
குரோதம்,"உட்பகை,சினம்,சினம்/பகை"
குலஸ்திரீ,குலமகள்
குன்மம்,"வயிற்றுவலி,சூலை"
கூசுமாண்டம்,பூசுணி
கூபம்,"கூவம்,கிணறு"
கூர்மம்,ஆமை
கேலி,"இகழ்ச்சி,பகடி"
கைங்கரியம்,"பணி,தொண்டு"
கோஷ்டம்,"மணப் பொருள்,கூட்டம்,பேரொலி"
கோஷம்,"முழக்கம்,குரல்"
கோஷ்டி,"கூட்டம்,கூட்டம்/குழாம்"
கோதண்டம்,வில்
கோத்திரம்,"மரபு,குலம்,வகுப்பு"
கோமயம்,ஆனீர்
கோரம்,"அச்சம்,கொடுமை"
சகசம்,"இயற்கை,ஒற்றுமை"
சகடம்,வண்டி
சகடு,வண்டி
சகலம்,எல்லாம்
சகலர்,மும்மலக்கட்டினர்
சகவாசம்,"உடனுறைதல்,நட்பு,பழக்கம்,சேர்க்கை,கூடவிருத்தல்"
சகன்,"கூட்டாளி,தோழன்"
சகாயம்,"உதவி,துணை,நயம்,பயன்,மலிவு,நன்மை"
சகித்தல்,பொறுத்தல்
சகுனம்,குறி
சகோதரன்,"தம்பி,உடன் பிறப்பு,உடன் பிறந்தான்,தமையன்"
சகோதரி,"உடன் பிறந்தாள்,உடன்பிறந்தாள்,தங்கை,தமக்கை"
சக்கரம்,"உருளை,வட்டம்"
சகோரம்,நிலாமுகிப்புள்
சக்கரதரன்,திருமால்
சக்கரவர்த்தி,"மன்னர்மன்னன்,அரசர்க்கரசன்,பேரரசர்,தனியரசாள்வோன்"
சக்தி,"வலி,வல்லமை,ஆற்றல்"
சங்கடம்,"வருத்தம்,நெருக்கம்,இடர்,கேடு,துன்பம்"
சங்கதி,செய்தி
